month,heizpatrone_kwh,netz_bezug_kwh,netz_einspeisung_kwh,batt_entladung_kwh,batt_ladung_kwh,direktverbrauch_kwh,solar_erzeugung_kwh,wattpilot_kwh,gesamt_verbrauch_kwh
2025-01,24.74,1229.02,2.99,158.67,167.26,213.41,506.2,134.1,1735.2
2025-02,26.98,743.02,5.7,228.55,240.3,416.41,892.0,247.04,1635.02
2025-03,184.06,503.04,9.34,302.17,320.16,572,1369.2,495.01,1872.22
2025-04,296.2,115.1,11.7,343.4,366.1,677.5,1565.0,544.1,1680.06
2025-05,405.32,54.6,29.4,351.6,371.6,808.2,1769.2,609.5,1823.83
2025-06,467.23,34.4,34.1,287.5,306.8,1067.2,1922.2,567.5,1956.54
2025-07,372.64,65.8,25.6,348.9,366.8,894.0,1680.3,437.4,1746.07
2025-08,381.96,39.2,20.1,354.9,373.2,881.9,1800.0,563.2,1839.21
2025-09,260.66,148.5,15.6,359.0,372.4,612.4,1534.4,562.9,1682.81
2025-10,61.99,510.96,16.5,280.22,288.98,342.47,1054.7,432.0,1565.66
2025-11,59.12,630.89,12.2,209.67,220.35,333.18,991.2,448.3,1622.05
2025-12,0.0,830.17,16.06,165.39,174.38,307.97,855.6,382.2,1685.73
