month,heizpatrone_kwh,netz_bezug_kwh,netz_einspeisung_kwh,batt_entladung_kwh,batt_ladung_kwh,direktverbrauch_kwh,solar_erzeugung_kwh,wattpilot_kwh,gesamt_verbrauch_kwh
2022-01,8.7,662.6,0.00,117.6,124.83,162.7,280.3,0.00,942.8
2022-02,123.1,382.3,0.00,206.8,222.46,388.6,595.4,0.00,977.7
2022-03,406.5,86.1,0.00,283.9,298.06,809.6,1093.5,0.00,1179.6
2022-04,458.0,30.1,0.00,261.9,284.4,840.0,1101.9,0.00,1131.9
2022-05,418.0,29.3,0.00,160.0,171.1,722.0,882.0,0.00,911.3
2022-06,373.8,21.8,0.00,163.2,180.4,838.7,1001.9,0.00,1023.7
2022-07,263.5,17.4,0.00,155.8,168.9,689.3,845.1,0.00,862.5
2022-08,217.3,25.9,0.00,193.2,207.8,687.3,880.5,0.00,906.4
2022-09,364.7,19.9,0.00,247.6,261.1,569.7,817.3,0.00,837.2
2022-10,323.8,27.5,0.00,264,277,574,838,0.00,865.5
2022-11,191.3,192.0,0.00,206,220,440,646,0.00,838.0
2022-12,17,664.6,0.00,98.89,103.34,186.56,285.45,0.00,950.1
