month,heizpatrone_kwh,netz_bezug_kwh,netz_einspeisung_kwh,batt_entladung_kwh,batt_ladung_kwh,direktverbrauch_kwh,solar_erzeugung_kwh,wattpilot_kwh,gesamt_verbrauch_kwh
2023-01,29.06,591.52,1,121.17,127.54,188.91,310.08,0.00,901.6
2023-02,151.8,332.36,2,178.58,197.75,407.01,585.59,0.00,917.85
2023-03,347.5,116.28,10,272.94,287.2,668.7,941.64,0.00,1057.92
2023-04,454.8,37.8,20.0,267.5,284.1,841.7,1109.2,0.00,1147.0
2023-05,639.1,12.7,20.0,181.0,195.2,893.5,1074.5,0.00,1087.2
2023-06,788.7,12.8,20.0,148.7,160.3,945.7,1094.3,0.00,1107.1
2023-07,814.7,14.3,30.0,166.9,181.9,1062.7,1229.6,0.00,1243.9
2023-08,660.0,11.1,23.0,212.0,224.6,892.0,1104.0,0.00,1115.0
2023-09,561.9,15.7,23.3,189.2,202.9,755.8,944.9,0.00,960.6
2023-10,198.7,98.2,11.8,237.4,246.27,484.4,721.8,0.00,820.0
2023-11,38.9,399.55,4.5,159.58,167.6,236.81,396.39,0.00,795.9
2023-12,14.68,730.41,1,100.84,104.57,185.28,286.12,0.00,1016.5
