record_type,date,ts_epoch,ts_local,wp_power_w,limit_w,within_limit,source
summary,2026-02,1769919120,2026-02-01 05:12:00,3774.0,4200.0,1,db_data_1min
daily_max,2026-02-01,1769919120,2026-02-01 05:12:00,3774.0,4200.0,1,db_data_1min
daily_max,2026-02-02,1770044760,2026-02-02 16:06:00,3737.0,4200.0,1,db_data_1min
daily_max,2026-02-03,1770142620,2026-02-03 19:17:00,3725.0,4200.0,1,db_data_1min
daily_max,2026-02-04,1770236820,2026-02-04 21:27:00,3734.0,4200.0,1,db_data_1min
daily_max,2026-02-05,1770301920,2026-02-05 15:32:00,3732.0,4200.0,1,db_data_1min
daily_max,2026-02-06,1770393540,2026-02-06 16:59:00,3734.0,4200.0,1,db_data_1min
daily_max,2026-02-07,1770462000,2026-02-07 12:00:00,3728.0,4200.0,1,db_data_1min
daily_max,2026-02-08,1770545400,2026-02-08 11:10:00,3729.0,4200.0,1,db_data_1min
daily_max,2026-02-09,1770618960,2026-02-09 07:36:00,3724.0,4200.0,1,db_data_1min
daily_max,2026-02-10,1770758760,2026-02-10 22:26:00,3741.0,4200.0,1,db_data_1min
daily_max,2026-02-11,1770845820,2026-02-11 22:37:00,3738.0,4200.0,1,db_data_1min
daily_max,2026-02-12,1770882540,2026-02-12 08:49:00,3746.0,4200.0,1,db_data_1min
daily_max,2026-02-13,1770999060,2026-02-13 17:11:00,3661.0,4200.0,1,db_data_1min
daily_max,2026-02-14,1771071540,2026-02-14 13:19:00,3716.0,4200.0,1,db_data_1min
daily_max,2026-02-15,1771160160,2026-02-15 13:56:00,3723.0,4200.0,1,db_data_1min
daily_max,2026-02-16,1771263120,2026-02-16 18:32:00,3725.0,4200.0,1,db_data_1min
daily_max,2026-02-17,1771337340,2026-02-17 15:09:00,3723.0,4200.0,1,db_data_1min
daily_max,2026-02-18,1771414920,2026-02-18 12:42:00,3739.0,4200.0,1,db_data_1min
daily_max,2026-02-19,1771522740,2026-02-19 18:39:00,3746.0,4200.0,1,db_data_1min
daily_max,2026-02-20,1771542300,2026-02-20 00:05:00,52.0,4200.0,1,db_data_1min
daily_max,2026-02-21,1771682700,2026-02-21 15:05:00,3732.0,4200.0,1,db_data_1min
daily_max,2026-02-22,1771747920,2026-02-22 09:12:00,3718.0,4200.0,1,db_data_1min
daily_max,2026-02-23,1771841400,2026-02-23 11:10:00,3745.0,4200.0,1,db_data_1min
daily_max,2026-02-24,1771967580,2026-02-24 22:13:00,3740.0,4200.0,1,db_data_1min
daily_max,2026-02-25,1772022960,2026-02-25 13:36:00,3735.0,4200.0,1,db_data_1min
daily_max,2026-02-26,1772098260,2026-02-26 10:31:00,3740.0,4200.0,1,db_data_1min
daily_max,2026-02-27,1772157540,2026-02-27 02:59:00,3745.0,4200.0,1,db_data_1min
daily_max,2026-02-28,1772268420,2026-02-28 09:47:00,3731.0,4200.0,1,db_data_1min
