record_type,date,ts_epoch,ts_local,wp_power_w,limit_w,within_limit,source
summary,2026-04,1776269520,2026-04-15 18:12:00,4233.0,4200.0,0,db_data_1min
daily_max,2026-04-01,1775008440,2026-04-01 03:54:00,3910.0,4200.0,1,db_data_1min
daily_max,2026-04-02,1775141760,2026-04-02 16:56:00,3937.0,4200.0,1,db_data_1min
daily_max,2026-04-03,1775202960,2026-04-03 09:56:00,3883.0,4200.0,1,db_data_1min
daily_max,2026-04-04,1775317680,2026-04-04 17:48:00,3961.0,4200.0,1,db_data_1min
daily_max,2026-04-05,1775362500,2026-04-05 06:15:00,3896.0,4200.0,1,db_data_1min
daily_max,2026-04-06,1775477700,2026-04-06 14:15:00,4037.0,4200.0,1,db_data_1min
daily_max,2026-04-07,1775538480,2026-04-07 07:08:00,3859.0,4200.0,1,db_data_1min
daily_max,2026-04-08,1775633820,2026-04-08 09:37:00,3902.0,4200.0,1,db_data_1min
daily_max,2026-04-09,1775753220,2026-04-09 18:47:00,3250.9,4200.0,1,db_data_1min
daily_max,2026-04-10,1775806620,2026-04-10 09:37:00,3902.0,4200.0,1,db_data_1min
daily_max,2026-04-11,1775909460,2026-04-11 14:11:00,3962.0,4200.0,1,db_data_1min
daily_max,2026-04-12,1776011640,2026-04-12 18:34:00,3888.0,4200.0,1,db_data_1min
daily_max,2026-04-13,1776079680,2026-04-13 13:28:00,4033.0,4200.0,1,db_data_1min
daily_max,2026-04-14,1776148560,2026-04-14 08:36:00,3896.0,4200.0,1,db_data_1min
daily_max,2026-04-15,1776269520,2026-04-15 18:12:00,4233.0,4200.0,0,db_data_1min
daily_max,2026-04-16,1776310920,2026-04-16 05:42:00,2970.7,4200.0,1,db_data_1min
daily_max,2026-04-17,1776402240,2026-04-17 07:04:00,2993.2,4200.0,1,db_data_1min
daily_max,2026-04-18,1776483720,2026-04-18 05:42:00,2955.5,4200.0,1,db_data_1min
daily_max,2026-04-19,1776619500,2026-04-19 19:25:00,3900.0,4200.0,1,db_data_1min
daily_max,2026-04-20,1776679200,2026-04-20 12:00:00,3916.0,4200.0,1,db_data_1min
daily_max,2026-04-21,1776749460,2026-04-21 07:31:00,3867.0,4200.0,1,db_data_1min
daily_max,2026-04-22,1776838020,2026-04-22 08:07:00,3902.0,4200.0,1,db_data_1min
daily_max,2026-04-23,1776935460,2026-04-23 11:11:00,3011.1,4200.0,1,db_data_1min
daily_max,2026-04-24,1777033140,2026-04-24 14:19:00,4163.0,4200.0,1,db_data_1min
daily_max,2026-04-25,1777108380,2026-04-25 11:13:00,3888.0,4200.0,1,db_data_1min
daily_max,2026-04-26,1777187220,2026-04-26 09:07:00,3001.7,4200.0,1,db_data_1min
daily_max,2026-04-27,1777266360,2026-04-27 07:06:00,3002.2,4200.0,1,db_data_1min
daily_max,2026-04-28,1777371960,2026-04-28 12:26:00,2771.8,4200.0,1,db_data_1min
daily_max,2026-04-29,1777430400,2026-04-29 04:40:00,3154.9,4200.0,1,db_data_1min
daily_max,2026-04-30,1777517580,2026-04-30 04:53:00,3144.3,4200.0,1,db_data_1min
violation,2026-04-15,1776269520,2026-04-15 18:12:00,4233.0,4200.0,0,db_data_1min
